code,table_group,scenario,experiment,repetition,status,detail,runtime_seconds,runtime_seconds_per_cycle,peak_working_set_mib,max_blob_count,commit_sha
F04,disruption,stage6_13_levy_v2_flood_all_pt_reroute,popular_times_v2/stage6/13_levy_v2_flood_all_pt_reroute,2,complete,all controlled performance artifacts are complete,475.5739581999951,8.492392110714198,447.140625,8178,48b2e244f7329c368e46d286002bbc4de7bd81a3
F04,disruption,stage6_13_levy_v2_flood_all_pt_reroute,popular_times_v2/stage6/13_levy_v2_flood_all_pt_reroute,3,complete,all controlled performance artifacts are complete,481.0448925999808,8.5900873678568,446.4375,8092,48b2e244f7329c368e46d286002bbc4de7bd81a3
F04,disruption,stage6_13_levy_v2_flood_all_pt_reroute,popular_times_v2/stage6/13_levy_v2_flood_all_pt_reroute,4,complete,all controlled performance artifacts are complete,473.08603519998724,8.447964914285487,450.09375,8151,48b2e244f7329c368e46d286002bbc4de7bd81a3
F05,disruption,stage6_94_levy_v2_flood_destinations,popular_times_v2/stage6/94_levy_v2_flood_destinations,0,complete,all controlled performance artifacts are complete,3719.4813014999963,66.41930895535708,1767.26171875,44582,48b2e244f7329c368e46d286002bbc4de7bd81a3
F05,disruption,stage6_94_levy_v2_flood_destinations,popular_times_v2/stage6/94_levy_v2_flood_destinations,1,complete,all controlled performance artifacts are complete,3340.9311951000127,59.659485626785944,1708.48046875,44581,48b2e244f7329c368e46d286002bbc4de7bd81a3
F05,disruption,stage6_94_levy_v2_flood_destinations,popular_times_v2/stage6/94_levy_v2_flood_destinations,2,complete,all controlled performance artifacts are complete,3352.8981221999857,59.87318075357117,1770.0234375,44578,48b2e244f7329c368e46d286002bbc4de7bd81a3
F05,disruption,stage6_94_levy_v2_flood_destinations,popular_times_v2/stage6/94_levy_v2_flood_destinations,3,complete,all controlled performance artifacts are complete,3352.527570999984,59.86656376785686,1768.27734375,44578,48b2e244f7329c368e46d286002bbc4de7bd81a3
F05,disruption,stage6_94_levy_v2_flood_destinations,popular_times_v2/stage6/94_levy_v2_flood_destinations,4,complete,all controlled performance artifacts are complete,3360.7932132999995,60.014164523214276,1775.32421875,44579,48b2e244f7329c368e46d286002bbc4de7bd81a3
F06,disruption,stage6_94_levy_v2_flood_homes,popular_times_v2/stage6/94_levy_v2_flood_homes,0,complete,all controlled performance artifacts are complete,7244.43221649999,129.3648610089284,2112.8203125,51502,48b2e244f7329c368e46d286002bbc4de7bd81a3
F06,disruption,stage6_94_levy_v2_flood_homes,popular_times_v2/stage6/94_levy_v2_flood_homes,1,complete,all controlled performance artifacts are complete,7239.011687999999,129.26806585714283,2125.80859375,51662,48b2e244f7329c368e46d286002bbc4de7bd81a3
F06,disruption,stage6_94_levy_v2_flood_homes,popular_times_v2/stage6/94_levy_v2_flood_homes,2,complete,all controlled performance artifacts are complete,7187.212622000021,128.34308253571467,2122.1640625,51687,48b2e244f7329c368e46d286002bbc4de7bd81a3
F06,disruption,stage6_94_levy_v2_flood_homes,popular_times_v2/stage6/94_levy_v2_flood_homes,3,complete,all controlled performance artifacts are complete,7206.628537200042,128.6897953071436,2140.375,51481,48b2e244f7329c368e46d286002bbc4de7bd81a3
F06,disruption,stage6_94_levy_v2_flood_homes,popular_times_v2/stage6/94_levy_v2_flood_homes,4,complete,all controlled performance artifacts are complete,7299.750179600029,130.35268177857193,2267.9765625,51611,48b2e244f7329c368e46d286002bbc4de7bd81a3
F07,disruption,stage6_94_levy_v2_flood_all,popular_times_v2/stage6/94_levy_v2_flood_all,0,complete,all controlled performance artifacts are complete,4708.274385299999,84.07632830892855,1776.76171875,50090,48b2e244f7329c368e46d286002bbc4de7bd81a3
